Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-2557.661	-2884.24	326.5796	1.820681	0.572207	0.427793	1.105661
6	-2545.729	-2872.234	326.5053	1.847682	0.585599	0.414401	1.14824
12	-2562.309	-2889.02	326.711	1.73808	0.610269	0.389731	1.060317
18	-2562.846	-2889.471	326.6249	1.76815	0.577493	0.422507	1.112241
24	-2570.759	-2897.132	326.3732	1.704958	0.492478	0.507522	1.376196
30	-2547.951	-2874.447	326.4956	1.704958	0.665352	0.334648	1.277928
36	-2557.487	-2883.988	326.5007	1.798865	0.564982	0.435018	1.194772
42	-2575.7	-2902.202	326.5016	1.84711	0.518525	0.481475	1.151996
48	-2567.219	-2893.821	326.6027	1.78484	0.564574	0.435426	1.117266
54	-2559.194	-2885.817	326.6229	1.925248	0.576647	0.423353	0.9622856
60	-2565.571	-2892.21	326.639	1.92193	0.572936	0.427064	0.9488674
66	-2565.276	-2891.928	326.6514	1.803375	0.588822	0.411178	1.054971
72	-2563.206	-2889.895	326.6894	1.873537	0.619591	0.380409	0.946812
78	-2558.703	-2885.399	326.6965	1.997586	0.461737	0.538263	0.7919104
84	-2552.067	-2878.715	326.648	2.06115	0.658875	0.341125	0.7709465
90	-2556.283	-2882.909	326.6262	2.082917	0.522732	0.477268	0.7709465
96	-2558.026	-2884.709	326.6826	2.027039	0.634553	0.365447	0.7702614
102	-2576.398	-2903.083	326.685	1.997623	0.625575	0.374425	0.8071928
108	-2566.028	-2892.67	326.6414	1.881521	0.625575	0.374425	0.9882409
114	-2564.557	-2891.142	326.5844	1.885507	0.598835	0.401165	1.040464
120	-2559.139	-2885.753	326.6135	1.916206	0.598835	0.401165	0.9813031
126	-2550.131	-2876.848	326.7165	1.836414	0.598269	0.401731	0.9573546
132	-2567.154	-2893.827	326.6727	1.949444	0.613269	0.386731	0.8813685
138	-2572.447	-2899.1	326.6533	1.927928	0.548063	0.451937	0.9271598
144	-2571.047	-2897.656	326.6085	1.963703	0.566908	0.433092	0.9369558
150	-2568.069	-2894.681	326.612	2.05938	0.477249	0.522751	0.8217613
156	-2547.415	-2874.092	326.6768	2.074175	0.661995	0.338005	0.7062055
162	-2552.122	-2878.816	326.6939	1.843428	0.585693	0.414307	0.973501
168	-2544.678	-2871.359	326.6804	1.798096	0.585838	0.414162	1.032234
174	-2561.784	-2888.333	326.5498	1.756661	0.600872	0.399128	1.188861
180	-2556.168	-2882.593	326.4258	1.701988	0.630056	0.369944	1.336883
186	-2557.202	-2883.659	326.4567	1.717351	0.630056	0.369944	1.29957
192	-2573.494	-2899.974	326.4802	1.69386	0.536266	0.463734	1.29957
198	-2567.494	-2893.94	326.4453	1.730053	0.510964	0.489036	1.298571
204	-2561.003	-2887.518	326.515	1.714416	0.549863	0.450137	1.25406
210	-2564.729	-2891.212	326.4831	1.729242	0.556574	0.443426	1.268248
216	-2581.409	-2908.004	326.5952	1.690332	0.556574	0.443426	1.206791
222	-2559.304	-2885.655	326.3513	1.767227	0.490189	0.509811	1.344239
228	-2553.87	-2880.253	326.383	1.758414	0.610039	0.389961	1.325945
234	-2543.735	-2870.244	326.5087	1.778854	0.565296	0.434704	1.205103
240	-2551.224	-2877.457	326.2327	1.717432	0.576867	0.423133	1.47478
246	-2559.17	-2885.48	326.3104	1.646775	0.577627	0.422373	1.469453
252	-2572.319	-2898.658	326.3386	1.802837	0.673101	0.326899	1.325923
258	-2575.734	-2901.938	326.2041	1.711043	0.552067	0.447933	1.501139
264	-2561.624	-2887.794	326.1707	1.74447	0.53658	0.46342	1.501139
270	-2573.997	-2900.48	326.4826	1.68786	0.540188	0.459812	1.302543
276	-2573.992	-2900.301	326.3086	1.671475	0.574829	0.425171	1.452024
282	-2548.517	-2875.005	326.4887	1.745797	0.598336	0.401664	1.249893
288	-2554.333	-2880.879	326.5459	1.670722	0.606558	0.393442	1.264667
294	-2564.375	-2890.689	326.3137	1.520443	0.662509	0.337491	1.56127
