Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-2564.208	-2890.866	326.6588	2.034732	0.541123	0.458877	0.7926872
6	-2546.991	-2873.685	326.694	1.984071	0.546615	0.453385	0.8131062
12	-2561.705	-2888.433	326.7274	1.973311	0.639168	0.360832	0.7828231
18	-2567.214	-2893.871	326.6567	1.931349	0.45951	0.54049	0.9197057
24	-2564.445	-2890.997	326.5522	1.920213	0.466121	0.533879	1.038076
30	-2581.414	-2907.983	326.5688	1.903565	0.593596	0.406404	1.038076
36	-2566.053	-2892.805	326.7519	1.885314	0.583256	0.416744	0.8638094
42	-2572.525	-2899.261	326.7362	1.870519	0.448813	0.551187	0.8989457
48	-2577.041	-2903.72	326.679	1.923082	0.640007	0.359993	0.9042542
54	-2555.706	-2882.288	326.5823	1.807299	0.640007	0.359993	1.115423
60	-2577.802	-2904.493	326.6912	1.949519	0.493996	0.506004	0.8595541
66	-2581.343	-2907.942	326.5989	2.041798	0.524888	0.475112	0.8595541
72	-2567.946	-2894.543	326.5975	2.043249	0.455883	0.544117	0.8595541
78	-2560.258	-2886.962	326.7036	1.940818	0.552892	0.447108	0.8551769
84	-2547.662	-2874.302	326.6399	1.965973	0.539169	0.460831	0.8999165
90	-2557.94	-2884.616	326.6764	1.965973	0.539169	0.460831	0.8576621
96	-2555.901	-2882.497	326.5956	2.011302	0.535325	0.464675	0.8988173
102	-2563.531	-2890.117	326.5865	1.908079	0.540214	0.459786	1.016465
108	-2577.002	-2903.681	326.6788	1.921129	0.64052	0.35948	0.9066102
114	-2567.044	-2893.775	326.7307	2.01338	0.64673	0.35327	0.717666
120	-2561.663	-2888.33	326.6665	2.024511	0.64673	0.35327	0.7960477
126	-2568.906	-2895.556	326.6498	1.8577	0.679466	0.320534	1.003717
132	-2568.088	-2894.688	326.6004	1.839904	0.555388	0.444612	1.06863
138	-2565.762	-2892.263	326.5009	1.931713	0.606666	0.393334	1.075827
